Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Characteristics[Nr]	Term Source REF	Term Accession Number	Factor Value[Species]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Factor Value[Harvest Date]	Term Source REF	Term Accession Number	Factor Value[Plot]	Term Source REF	Term Accession Number	Factor Value[Diversity]	Unit	Term Source REF	Term Accession Number	Factor Value[Local Diversity]	Unit	Term Source REF	Term Accession Number
Ssup_P8_0204	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R14_Ssup_P8_0204	_014			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0317	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E15_Cgla_P8_0317	_015			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0317	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L15_Cgla_P8_0317	_015			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_P8_0317	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R15_Cgla_P8_0317	_015			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1017	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E16_Ssup_P8_1017	_016			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1017	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L16_Ssup_P8_1017	_016			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1017	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R16_Ssup_P8_1017	_016			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1708	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E17_Ssup_P8_1708	_017			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1708	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L17_Ssup_P8_1708	_017			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1708	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R17_Ssup_P8_1708	_017			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_P8_1318	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E18_Ssup_P8_1318	_018			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			01.04.19			P8			2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
